# freq_hz  error_db  iqr_db  n_segments
# emulator minus hardware; match 200-800 Hz; gate 20 dB; min level 50 dB
141.42 -0.4901 1.3033 4
158.74 0.0549 0.5094 4
178.18 0.0821 0.5186 4
200.00 0.1415 0.6114 4
224.49 0.1303 0.8402 4
251.98 -0.7054 1.3794 4
282.84 -0.1390 0.5938 4
317.48 0.0157 0.5297 4
356.36 -0.4929 0.7273 4
400.00 0.0783 0.3884 4
448.98 -0.1929 1.0953 4
503.97 0.0244 0.5042 4
565.69 0.0074 0.2046 4
634.96 -0.2304 0.0872 4
712.72 1.1528 2.2977 4
800.00 0.1613 0.9511 4
897.97 0.3897 0.6007 4
1007.94 0.0297 1.1502 4
1131.37 0.3151 0.6684 4
1269.92 0.2547 0.9244 4
1425.44 0.3971 0.5145 4
1600.00 0.9149 0.9349 4
1795.94 0.6022 0.4031 4
2015.87 0.8915 0.5275 4
2262.74 1.0447 0.9247 4
2539.84 1.3705 0.6724 4
2850.88 2.1769 1.0828 4
3200.00 2.7536 1.5954 4
3591.88 2.4922 0.7878 4
4031.75 3.7797 0.6646 4
4525.48 4.2371 1.3928 4
5079.68 5.5526 0.8910 4
5701.75 8.4905 4.4772 4
6400.00 9.9919 6.4184 4
7183.76 7.1984 3.1333 4
8063.49 3.6467 nan 2
9050.97 1.6170 nan 2
10159.37 -1.3953 nan 2
11403.50 -6.0535 nan 1
12800.00 -8.3761 nan 2
14367.51 -13.7109 nan 2
16126.99 -22.6348 nan 1
