# freq_hz  error_db  iqr_db  n_segments
# emulator minus hardware; match 200-800 Hz; gate 20 dB; min level 60 dB
141.42 0.2755 nan 2
158.74 0.1332 nan 2
178.18 0.1038 nan 2
200.00 0.1663 nan 2
224.49 0.1548 nan 2
251.98 -0.0107 nan 2
282.84 0.0439 nan 2
317.48 0.0320 nan 2
356.36 -0.0226 nan 2
400.00 0.0878 nan 2
448.98 -0.1900 nan 2
503.97 0.0187 nan 2
565.69 -0.0161 nan 2
634.96 -0.2033 nan 2
712.72 -0.1714 nan 2
800.00 0.1106 nan 2
897.97 0.0794 nan 2
1007.94 -0.0850 nan 2
1131.37 0.1648 nan 2
1269.92 0.0690 nan 2
1425.44 0.1390 nan 2
1600.00 0.0830 nan 2
1795.94 0.1795 nan 2
2015.87 0.3374 nan 2
2262.74 0.2408 nan 2
2539.84 0.3087 nan 2
2850.88 0.2668 nan 2
3200.00 0.2128 nan 2
3591.88 0.0838 nan 2
4031.75 -0.0595 nan 2
4525.48 -0.4859 nan 2
5079.68 -0.7889 nan 2
5701.75 -0.7979 nan 2
6400.00 -0.0658 nan 2
7183.76 0.6635 nan 2
8063.49 -0.0450 nan 2
9050.97 -1.1303 nan 2
10159.37 -3.2730 nan 2
11403.50 -7.3087 nan 1
