segment,trial,tag,note,velocity,hold_s,onset_s
fx_chorus_rate,0,crate=0,60,100,10.000,24.9100
fx_chorus_rate,1,crate=3,60,100,10.000,37.5900
fx_chorus_rate,2,crate=7,60,100,10.000,50.2700
fx_chorus_rate,3,crate=11,60,100,10.000,62.9500
fx_chorus_rate,4,crate=15,60,100,10.000,75.6300
fx_chorus_depth,0,cdepth=0,60,100,10.000,92.5400
fx_chorus_depth,1,cdepth=1,60,100,10.000,105.2200
fx_chorus_depth,2,cdepth=4,60,100,10.000,117.9000
fx_chorus_depth,3,cdepth=7,60,100,10.000,130.5800
fx_chorus_depth,4,cdepth=11,60,100,10.000,143.2600
fx_chorus_depth,5,cdepth=15,60,100,10.000,155.9400
fx_tremolo_rate,0,trate=0,60,100,10.000,172.8500
fx_tremolo_rate,1,trate=3,60,100,10.000,185.5300
fx_tremolo_rate,2,trate=7,60,100,10.000,198.2100
fx_tremolo_rate,3,trate=11,60,100,10.000,210.8900
fx_tremolo_rate,4,trate=15,60,100,10.000,223.5700
fx_tremolo_depth,0,tdepth=0,60,100,10.000,240.4800
fx_tremolo_depth,1,tdepth=1,60,100,10.000,253.1600
fx_tremolo_depth,2,tdepth=4,60,100,10.000,265.8400
fx_tremolo_depth,3,tdepth=7,60,100,10.000,278.5200
fx_tremolo_depth,4,tdepth=11,60,100,10.000,291.2000
fx_tremolo_depth,5,tdepth=15,60,100,10.000,303.8800
fx_shape,0,shape/chorus_7_7,60,100,25.000,320.7900
fx_shape,1,shape/chorus_7_15,60,100,25.000,348.4700
fx_shape,2,shape/chorus_0_7,60,100,25.000,376.1500
fx_shape,3,shape/tremolo_7_7,60,100,25.000,403.8300
fx_shape,4,shape/tremolo_7_15,60,100,25.000,431.5100
fx_shape,5,shape/dry,60,100,25.000,459.1900
fx_stereo,0,stereo/chorus_wet,60,100,15.000,491.1000
fx_stereo,1,stereo/chorus_dry,60,100,15.000,508.7800
fx_stereo,2,stereo/tremolo_wet,60,100,15.000,526.4600
fx_stereo,3,stereo/tremolo_dry,60,100,15.000,544.1400
fx_stereo,4,stereo/both_wet,60,100,15.000,561.8200
fx_stereo,5,stereo/both_dry,60,100,15.000,579.5000
fx_tones_strings,0,strings/dry,60,100,12.000,601.4100
fx_tones_strings,1,strings/wet,60,100,12.000,616.0900
fx_tones_choir,0,choir/dry,60,100,12.000,635.0000
fx_tones_choir,1,choir/wet,60,100,12.000,649.6800
fx_tones_vib,0,vib/dry,60,100,12.000,668.5900
fx_tones_vib,1,vib/wet,60,100,12.000,683.2700
fx_factory_p01,0,P-01/n48/dry,48,100,12.000,701.7500
fx_factory_p01,1,P-01/n60/dry,60,100,12.000,716.4300
fx_factory_p01,2,P-01/n48/wet,48,100,12.000,731.1100
fx_factory_p01,3,P-01/n60/wet,60,100,12.000,745.7900
fx_factory_p31,0,P-31/n48/dry,48,100,12.000,764.2700
fx_factory_p31,1,P-31/n60/dry,60,100,12.000,778.9500
fx_factory_p31,2,P-31/n48/wet,48,100,12.000,793.6300
fx_factory_p31,3,P-31/n60/wet,60,100,12.000,808.3100
fx_factory_p14,0,P-14/n48/dry,48,100,12.000,826.7900
fx_factory_p14,1,P-14/n60/dry,60,100,12.000,841.4700
fx_factory_p14,2,P-14/n48/wet,48,100,12.000,856.1500
fx_factory_p14,3,P-14/n60/wet,60,100,12.000,870.8300
