segment,trial,tag,note,velocity,hold_s,onset_s
release_sweep_vib,0,env_release=-7,60,100,1.000,24.1620
release_sweep_vib,1,env_release=-6,60,100,1.000,28.5240
release_sweep_vib,2,env_release=-5,60,100,1.000,32.8860
release_sweep_vib,3,env_release=-4,60,100,1.000,37.2480
release_sweep_vib,4,env_release=-3,60,100,1.000,41.6100
release_sweep_vib,5,env_release=-2,60,100,1.000,45.9720
release_sweep_vib,6,env_release=-1,60,100,1.000,50.3340
release_sweep_vib,7,env_release=+0,60,100,1.000,54.6960
release_sweep_vib,8,env_release=+1,60,100,1.000,59.0580
release_sweep_vib,9,env_release=+2,60,100,1.000,63.4200
release_sweep_vib,10,env_release=+3,60,100,1.000,67.7820
release_sweep_vib,11,env_release=+4,60,100,1.000,72.1440
release_sweep_vib,12,env_release=+5,60,100,1.000,76.5060
release_sweep_vib,13,env_release=+6,60,100,1.000,80.8680
release_sweep_vib,14,env_release=+7,60,100,1.000,85.2300
release_sweep_organ,0,env_release=-7,60,100,1.000,93.0920
release_sweep_organ,1,env_release=-6,60,100,1.000,97.4540
release_sweep_organ,2,env_release=-5,60,100,1.000,101.8160
release_sweep_organ,3,env_release=-4,60,100,1.000,106.1780
release_sweep_organ,4,env_release=-3,60,100,1.000,110.5400
release_sweep_organ,5,env_release=-2,60,100,1.000,114.9020
release_sweep_organ,6,env_release=-1,60,100,1.000,119.2640
release_sweep_organ,7,env_release=+0,60,100,1.000,123.6260
release_sweep_organ,8,env_release=+1,60,100,1.000,127.9880
release_sweep_organ,9,env_release=+2,60,100,1.000,132.3500
release_sweep_organ,10,env_release=+3,60,100,1.000,136.7120
release_sweep_organ,11,env_release=+4,60,100,1.000,141.0740
release_sweep_organ,12,env_release=+5,60,100,1.000,145.4360
release_sweep_organ,13,env_release=+6,60,100,1.000,149.7980
release_sweep_organ,14,env_release=+7,60,100,1.000,154.1600
release_sweep_choir,0,env_release=-7,60,100,1.000,162.0220
release_sweep_choir,1,env_release=-6,60,100,1.000,166.3840
release_sweep_choir,2,env_release=-5,60,100,1.000,170.7460
release_sweep_choir,3,env_release=-4,60,100,1.000,175.1080
release_sweep_choir,4,env_release=-3,60,100,1.000,179.4700
release_sweep_choir,5,env_release=-2,60,100,1.000,183.8320
release_sweep_choir,6,env_release=-1,60,100,1.000,188.1940
release_sweep_choir,7,env_release=+0,60,100,1.000,192.5560
release_sweep_choir,8,env_release=+1,60,100,1.000,196.9180
release_sweep_choir,9,env_release=+2,60,100,1.000,201.2800
release_sweep_choir,10,env_release=+3,60,100,1.000,205.6420
release_sweep_choir,11,env_release=+4,60,100,1.000,210.0040
release_sweep_choir,12,env_release=+5,60,100,1.000,214.3660
release_sweep_choir,13,env_release=+6,60,100,1.000,218.7280
release_sweep_choir,14,env_release=+7,60,100,1.000,223.0900
attack_sweep_vib,0,env_attack=-7,60,100,2.500,230.9520
attack_sweep_vib,1,env_attack=-6,60,100,2.500,235.4140
attack_sweep_vib,2,env_attack=-5,60,100,2.500,239.8760
attack_sweep_vib,3,env_attack=-4,60,100,2.500,244.3380
attack_sweep_vib,4,env_attack=-3,60,100,2.500,248.8000
attack_sweep_vib,5,env_attack=-2,60,100,2.500,253.2620
attack_sweep_vib,6,env_attack=-1,60,100,2.500,257.7240
attack_sweep_vib,7,env_attack=+0,60,100,2.500,262.1860
attack_sweep_vib,8,env_attack=+1,60,100,2.500,266.6480
attack_sweep_vib,9,env_attack=+2,60,100,2.500,271.1100
attack_sweep_vib,10,env_attack=+3,60,100,2.500,275.5720
attack_sweep_vib,11,env_attack=+4,60,100,2.500,280.0340
attack_sweep_vib,12,env_attack=+5,60,100,2.500,284.4960
attack_sweep_vib,13,env_attack=+6,60,100,2.500,288.9580
attack_sweep_vib,14,env_attack=+7,60,100,2.500,293.4200
attack_sweep_strings,0,env_attack=-7,60,100,2.500,301.3820
attack_sweep_strings,1,env_attack=-6,60,100,2.500,305.8440
attack_sweep_strings,2,env_attack=-5,60,100,2.500,310.3060
attack_sweep_strings,3,env_attack=-4,60,100,2.500,314.7680
attack_sweep_strings,4,env_attack=-3,60,100,2.500,319.2300
attack_sweep_strings,5,env_attack=-2,60,100,2.500,323.6920
attack_sweep_strings,6,env_attack=-1,60,100,2.500,328.1540
attack_sweep_strings,7,env_attack=+0,60,100,2.500,332.6160
attack_sweep_strings,8,env_attack=+1,60,100,2.500,337.0780
attack_sweep_strings,9,env_attack=+2,60,100,2.500,341.5400
attack_sweep_strings,10,env_attack=+3,60,100,2.500,346.0020
attack_sweep_strings,11,env_attack=+4,60,100,2.500,350.4640
attack_sweep_strings,12,env_attack=+5,60,100,2.500,354.9260
attack_sweep_strings,13,env_attack=+6,60,100,2.500,359.3880
attack_sweep_strings,14,env_attack=+7,60,100,2.500,363.8500
attack_sweep_brass,0,env_attack=-7,60,100,2.500,371.8120
attack_sweep_brass,1,env_attack=-6,60,100,2.500,376.2740
attack_sweep_brass,2,env_attack=-5,60,100,2.500,380.7360
attack_sweep_brass,3,env_attack=-4,60,100,2.500,385.1980
attack_sweep_brass,4,env_attack=-3,60,100,2.500,389.6600
attack_sweep_brass,5,env_attack=-2,60,100,2.500,394.1220
attack_sweep_brass,6,env_attack=-1,60,100,2.500,398.5840
attack_sweep_brass,7,env_attack=+0,60,100,2.500,403.0460
attack_sweep_brass,8,env_attack=+1,60,100,2.500,407.5080
attack_sweep_brass,9,env_attack=+2,60,100,2.500,411.9700
attack_sweep_brass,10,env_attack=+3,60,100,2.500,416.4320
attack_sweep_brass,11,env_attack=+4,60,100,2.500,420.8940
attack_sweep_brass,12,env_attack=+5,60,100,2.500,425.3560
attack_sweep_brass,13,env_attack=+6,60,100,2.500,429.8180
attack_sweep_brass,14,env_attack=+7,60,100,2.500,434.2800
level_sweep,0,level=127,60,100,1.200,442.2420
level_sweep,1,level=112,60,100,1.200,444.9040
level_sweep,2,level=96,60,100,1.200,447.5660
level_sweep,3,level=80,60,100,1.200,450.2280
level_sweep,4,level=64,60,100,1.200,452.8900
level_sweep,5,level=56,60,100,1.200,455.5520
level_sweep,6,level=48,60,100,1.200,458.2140
level_sweep,7,level=40,60,100,1.200,460.8760
level_sweep,8,level=32,60,100,1.200,463.5380
level_sweep,9,level=24,60,100,1.200,466.2000
level_sweep,10,level=16,60,100,1.200,468.8620
level_sweep,11,level=8,60,100,1.200,471.5240
level_sweep,12,level=4,60,100,1.200,474.1860
level_sweep,13,level=0,60,100,1.200,476.8480
velocity_sens,0,velo_sens=0/vel=1,60,1,1.200,483.0100
velocity_sens,1,velo_sens=0/vel=40,60,40,1.200,485.6720
velocity_sens,2,velo_sens=0/vel=80,60,80,1.200,488.3340
velocity_sens,3,velo_sens=0/vel=127,60,127,1.200,490.9960
velocity_sens,4,velo_sens=4/vel=1,60,1,1.200,493.6580
velocity_sens,5,velo_sens=4/vel=40,60,40,1.200,496.3200
