segment,trial,tag,note,velocity,hold_s,onset_s
release_sweep_organ,0,env_release=-7,60,100,1.000,24.1620
release_sweep_organ,1,env_release=-6,60,100,1.000,28.5240
release_sweep_organ,2,env_release=-5,60,100,1.000,32.8860
release_sweep_organ,3,env_release=-4,60,100,1.000,37.2480
release_sweep_organ,4,env_release=-3,60,100,1.000,41.6100
release_sweep_organ,5,env_release=-2,60,100,1.000,45.9720
release_sweep_organ,6,env_release=-1,60,100,1.000,50.3340
release_sweep_organ,7,env_release=+0,60,100,1.000,54.6960
release_sweep_organ,8,env_release=+1,60,100,1.000,59.0580
release_sweep_organ,9,env_release=+2,60,100,1.000,63.4200
release_sweep_organ,10,env_release=+3,60,100,1.000,67.7820
release_sweep_organ,11,env_release=+4,60,100,1.000,72.1440
release_sweep_organ,12,env_release=+5,60,100,1.000,76.5060
release_sweep_organ,13,env_release=+6,60,100,1.000,80.8680
release_sweep_organ,14,env_release=+7,60,100,1.000,85.2300
