sweep                      trial                      reg07 reg06   voices
rate_ladder_attack_5       env_attack=-5/level=127      211    24   1
rate_ladder_attack_5       env_attack=-5/level=123      211    24   1
rate_ladder_attack_5       env_attack=-5/level=119      210    24   1
rate_ladder_attack_5       env_attack=-5/level=115      209    23   1
rate_ladder_attack_5       env_attack=-5/level=111      208    23   1
rate_ladder_attack_5       env_attack=-5/level=107      207    22   1
rate_ladder_attack_5       env_attack=-5/level=103      206    22   1
rate_ladder_attack_5       env_attack=-5/level=99       205    21   1
rate_ladder_attack_5       env_attack=-5/level=95       204    21   1
rate_ladder_attack_5       env_attack=-5/level=91       203    20   1
rate_ladder_attack_5       env_attack=-5/level=87       203    20   1
rate_ladder_attack_5       env_attack=-5/level=83       202    20   1
rate_ladder_attack_5       env_attack=-5/level=79       201    19   1
rate_ladder_attack_5       env_attack=-5/level=75       200    19   1
rate_ladder_attack_5       env_attack=-5/level=71       199    18   1
rate_ladder_attack_5       env_attack=-5/level=67       198    18   1
rate_ladder_attack_5       env_attack=-5/level=63       196    17   1
rate_ladder_attack_5       env_attack=-5/level=59       195    16   1
rate_ladder_attack_5       env_attack=-5/level=55       193    15   1
rate_ladder_attack_5       env_attack=-5/level=51       191    14   1
rate_ladder_attack_5       env_attack=-5/level=47       189    13   1
rate_ladder_attack_5       env_attack=-5/level=43       187    12   1
rate_ladder_attack_6       env_attack=-6/level=127      211     8   1
rate_ladder_attack_6       env_attack=-6/level=123      211     8   1
rate_ladder_attack_6       env_attack=-6/level=119      210     8   1
rate_ladder_attack_6       env_attack=-6/level=115      209     7   1
rate_ladder_attack_6       env_attack=-6/level=111      208     7   1
rate_ladder_attack_6       env_attack=-6/level=107      207     6   1
rate_ladder_attack_6       env_attack=-6/level=103      206     6   1
rate_ladder_attack_6       env_attack=-6/level=99       205     5   1
rate_ladder_attack_6       env_attack=-6/level=95       204     5   1
rate_ladder_attack_6       env_attack=-6/level=91       203     4   1
rate_ladder_attack_6       env_attack=-6/level=87       203     4   1
rate_ladder_attack_6       env_attack=-6/level=83       202     4   1
rate_ladder_attack_6       env_attack=-6/level=79       201     3   1
rate_ladder_attack_6       env_attack=-6/level=75       200     3   1
rate_ladder_attack_6       env_attack=-6/level=71       199     2   1
rate_ladder_attack_6       env_attack=-6/level=67       198     2   1
rate_ladder_attack_6       env_attack=-6/level=63       196     1   1
rate_ladder_attack_6       env_attack=-6/level=59       195     1   1
rate_ladder_attack_6       env_attack=-6/level=55       193     1   1
rate_ladder_attack_6       env_attack=-6/level=51       191     1   1
rate_ladder_attack_6       env_attack=-6/level=47       189     1   1
rate_ladder_attack_6       env_attack=-6/level=43       187     1   1
rate_ladder_release        env_release=-4/level=127     220   109   1
rate_ladder_release        env_release=-4/level=123     220   109   1
rate_ladder_release        env_release=-4/level=119     219   108   1
rate_ladder_release        env_release=-4/level=115     218   108   1
rate_ladder_release        env_release=-4/level=111     217   107   1
rate_ladder_release        env_release=-4/level=107     216   107   1
rate_ladder_release        env_release=-4/level=103     215   106   1
rate_ladder_release        env_release=-4/level=99      214   106   1
rate_ladder_release        env_release=-4/level=95      213   105   1
rate_ladder_release        env_release=-4/level=91      212   105   1
rate_ladder_release        env_release=-4/level=87      212   105   1
rate_ladder_release        env_release=-4/level=83      211   104   1
rate_ladder_release        env_release=-4/level=79      210   104   1
rate_ladder_release        env_release=-4/level=75      209   103   1
rate_ladder_release        env_release=-4/level=71      208   103   1
rate_ladder_release        env_release=-4/level=67      207   102   1
rate_ladder_release        env_release=-4/level=63      205   101   1
rate_ladder_release        env_release=-4/level=59      204   101   1
rate_ladder_release        env_release=-4/level=55      202   100   1
rate_ladder_release        env_release=-4/level=51      200    99   1
rate_ladder_release        env_release=-4/level=47      198    98   1
rate_ladder_release        env_release=-4/level=43      196    97   1
slow_release_vib           env_release=-7               211   104   1
slow_release_vib           env_release=-6               211   104   1
slow_release_vib           env_release=-5               211   104   1
slow_release_vib           env_release=-4               211   104   1
slow_release_choir         env_release=-7               227    45   2  + 208/41
slow_release_choir         env_release=-6               227    45   2  + 208/41
slow_release_choir         env_release=-5               227    45   2  + 208/41
slow_release_choir         env_release=-4               227    45   2  + 208/41
