segment,trial,tag,note,velocity,hold_s,onset_s
rate_ladder_attack_5,0,env_attack=-5/level=127,60,100,2.500,24.1680
rate_ladder_attack_5,1,env_attack=-5/level=123,60,100,2.500,28.4360
rate_ladder_attack_5,2,env_attack=-5/level=119,60,100,2.500,32.7040
rate_ladder_attack_5,3,env_attack=-5/level=115,60,100,2.500,36.9720
rate_ladder_attack_5,4,env_attack=-5/level=111,60,100,2.500,41.2400
rate_ladder_attack_5,5,env_attack=-5/level=107,60,100,2.500,45.5080
rate_ladder_attack_5,6,env_attack=-5/level=103,60,100,2.500,49.7760
rate_ladder_attack_5,7,env_attack=-5/level=99,60,100,2.500,54.0440
rate_ladder_attack_5,8,env_attack=-5/level=95,60,100,2.500,58.3120
rate_ladder_attack_5,9,env_attack=-5/level=91,60,100,2.500,62.5800
rate_ladder_attack_5,10,env_attack=-5/level=87,60,100,2.500,66.8480
rate_ladder_attack_5,11,env_attack=-5/level=83,60,100,2.500,71.1160
rate_ladder_attack_5,12,env_attack=-5/level=79,60,100,2.500,75.3840
rate_ladder_attack_5,13,env_attack=-5/level=75,60,100,2.500,79.6520
rate_ladder_attack_5,14,env_attack=-5/level=71,60,100,2.500,83.9200
rate_ladder_attack_5,15,env_attack=-5/level=67,60,100,2.500,88.1880
rate_ladder_attack_5,16,env_attack=-5/level=63,60,100,2.500,92.4560
rate_ladder_attack_5,17,env_attack=-5/level=59,60,100,2.500,96.7240
rate_ladder_attack_5,18,env_attack=-5/level=55,60,100,2.500,100.9920
rate_ladder_attack_5,19,env_attack=-5/level=51,60,100,2.500,105.2600
rate_ladder_attack_5,20,env_attack=-5/level=47,60,100,2.500,109.5280
rate_ladder_attack_5,21,env_attack=-5/level=43,60,100,2.500,113.7960
rate_ladder_attack_6,0,env_attack=-6/level=127,60,100,2.500,121.5640
rate_ladder_attack_6,1,env_attack=-6/level=123,60,100,2.500,125.8320
rate_ladder_attack_6,2,env_attack=-6/level=119,60,100,2.500,130.1000
rate_ladder_attack_6,3,env_attack=-6/level=115,60,100,2.500,134.3680
rate_ladder_attack_6,4,env_attack=-6/level=111,60,100,2.500,138.6360
rate_ladder_attack_6,5,env_attack=-6/level=107,60,100,2.500,142.9040
rate_ladder_attack_6,6,env_attack=-6/level=103,60,100,2.500,147.1720
rate_ladder_attack_6,7,env_attack=-6/level=99,60,100,2.500,151.4400
rate_ladder_attack_6,8,env_attack=-6/level=95,60,100,2.500,155.7080
rate_ladder_attack_6,9,env_attack=-6/level=91,60,100,2.500,159.9760
rate_ladder_attack_6,10,env_attack=-6/level=87,60,100,2.500,164.2440
rate_ladder_attack_6,11,env_attack=-6/level=83,60,100,2.500,168.5120
rate_ladder_attack_6,12,env_attack=-6/level=79,60,100,2.500,172.7800
rate_ladder_attack_6,13,env_attack=-6/level=75,60,100,2.500,177.0480
rate_ladder_attack_6,14,env_attack=-6/level=71,60,100,2.500,181.3160
rate_ladder_attack_6,15,env_attack=-6/level=67,60,100,2.500,185.5840
rate_ladder_attack_6,16,env_attack=-6/level=63,60,100,2.500,189.8520
rate_ladder_attack_6,17,env_attack=-6/level=59,60,100,2.500,194.1200
rate_ladder_attack_6,18,env_attack=-6/level=55,60,100,2.500,198.3880
rate_ladder_attack_6,19,env_attack=-6/level=51,60,100,2.500,202.6560
rate_ladder_attack_6,20,env_attack=-6/level=47,60,100,2.500,206.9240
rate_ladder_attack_6,21,env_attack=-6/level=43,60,100,2.500,211.1920
rate_ladder_release,0,env_release=-4/level=127,60,100,1.000,218.9600
rate_ladder_release,1,env_release=-4/level=123,60,100,1.000,223.3280
rate_ladder_release,2,env_release=-4/level=119,60,100,1.000,227.6960
rate_ladder_release,3,env_release=-4/level=115,60,100,1.000,232.0640
rate_ladder_release,4,env_release=-4/level=111,60,100,1.000,236.4320
rate_ladder_release,5,env_release=-4/level=107,60,100,1.000,240.8000
rate_ladder_release,6,env_release=-4/level=103,60,100,1.000,245.1680
rate_ladder_release,7,env_release=-4/level=99,60,100,1.000,249.5360
rate_ladder_release,8,env_release=-4/level=95,60,100,1.000,253.9040
rate_ladder_release,9,env_release=-4/level=91,60,100,1.000,258.2720
rate_ladder_release,10,env_release=-4/level=87,60,100,1.000,262.6400
rate_ladder_release,11,env_release=-4/level=83,60,100,1.000,267.0080
rate_ladder_release,12,env_release=-4/level=79,60,100,1.000,271.3760
rate_ladder_release,13,env_release=-4/level=75,60,100,1.000,275.7440
rate_ladder_release,14,env_release=-4/level=71,60,100,1.000,280.1120
rate_ladder_release,15,env_release=-4/level=67,60,100,1.000,284.4800
rate_ladder_release,16,env_release=-4/level=63,60,100,1.000,288.8480
rate_ladder_release,17,env_release=-4/level=59,60,100,1.000,293.2160
rate_ladder_release,18,env_release=-4/level=55,60,100,1.000,297.5840
rate_ladder_release,19,env_release=-4/level=51,60,100,1.000,301.9520
rate_ladder_release,20,env_release=-4/level=47,60,100,1.000,306.3200
rate_ladder_release,21,env_release=-4/level=43,60,100,1.000,310.6880
slow_release_vib,0,env_release=-7,60,100,1.000,318.5500
slow_release_vib,1,env_release=-6,60,100,1.000,344.7120
slow_release_vib,2,env_release=-5,60,100,1.000,370.8740
slow_release_vib,3,env_release=-4,60,100,1.000,397.0360
slow_release_choir,0,env_release=-7,60,100,1.000,426.6980
slow_release_choir,1,env_release=-6,60,100,1.000,452.8600
slow_release_choir,2,env_release=-5,60,100,1.000,479.0220
slow_release_choir,3,env_release=-4,60,100,1.000,505.1840
