# freq_hz  error_db  iqr_db  n_segments
# emulator minus hardware; match 200-800 Hz; gate 20 dB; min level 60 dB
141.42 -0.1988 0.8376 13
158.74 -0.0167 1.1583 13
178.18 0.0239 0.7756 13
200.00 -0.1486 0.3894 14
224.49 -0.1610 0.6513 14
251.98 -0.0051 0.6240 15
282.84 -0.2744 0.3999 15
317.48 0.1810 0.6141 14
356.36 -0.0255 0.4611 14
400.00 -0.0540 0.4210 15
448.98 -0.0262 0.6451 15
503.97 -0.0185 0.3895 15
565.69 -0.0432 0.4149 15
634.96 0.0417 0.3894 14
712.72 -0.0485 0.3455 15
800.00 0.0623 0.1834 15
897.97 0.0653 0.3467 15
1007.94 0.0594 0.2649 15
1131.37 0.1492 0.6741 15
1269.92 0.3320 0.5817 15
1425.44 0.4021 0.3366 14
1600.00 0.4837 0.7196 14
1795.94 0.6606 0.3157 14
2015.87 1.0315 1.0457 13
2262.74 1.0600 0.7856 13
2539.84 1.3027 0.7786 13
2850.88 1.6796 1.5571 12
3200.00 1.9348 0.6193 12
3591.88 2.6056 0.6719 12
4031.75 3.4390 1.3749 12
4525.48 4.3224 1.3331 11
5079.68 5.4324 2.1010 12
5701.75 6.5907 1.1155 8
6400.00 7.1780 1.8260 11
7183.76 6.5016 0.7857 7
8063.49 4.2228 1.4446 4
9050.97 1.9945 1.6039 3
10159.37 -4.3301 nan 1
11403.50 -9.1977 nan 1
12800.00 -15.0718 nan 1
14367.51 -22.3919 nan 1
16126.99 -27.2419 nan 1
