# freq_hz  error_db  iqr_db  n_segments
# emulator minus hardware; match 200-800 Hz; gate 20 dB; min level 60 dB
141.42 -0.1715 1.1520 15
158.74 0.1220 1.0359 15
178.18 0.0760 0.7170 15
200.00 -0.0673 0.5044 16
224.49 -0.0764 0.7467 16
251.98 0.0150 0.3231 17
282.84 -0.2553 0.4337 17
317.48 0.2486 0.6821 16
356.36 -0.0799 0.4678 16
400.00 -0.0439 0.5792 17
448.98 -0.0234 0.7246 17
503.97 -0.0243 0.3911 17
565.69 0.0381 0.3811 17
634.96 0.0142 0.2976 16
712.72 -0.0822 0.4023 17
800.00 0.0098 0.2225 17
897.97 -0.0138 0.3003 17
1007.94 -0.0555 0.2909 17
1131.37 0.0038 0.6167 17
1269.92 0.1326 0.5523 17
1425.44 0.2701 0.3526 16
1600.00 0.1805 0.7947 16
1795.94 0.2280 0.2879 16
2015.87 0.3700 0.8174 15
2262.74 0.3098 0.7438 15
2539.84 0.2526 0.6472 15
2850.88 0.3719 1.5483 14
3200.00 0.2798 0.7078 14
3591.88 0.2027 0.7089 14
4031.75 -0.0107 1.1280 14
4525.48 -0.3375 1.2867 13
5079.68 -0.6481 1.3868 14
5701.75 -0.4903 1.3233 9
6400.00 0.2769 1.7259 12
7183.76 1.0538 1.0531 8
8063.49 0.3908 0.8307 5
9050.97 -1.0630 1.4344 4
10159.37 -5.8727 nan 2
11403.50 -10.4371 nan 2
12800.00 -18.7465 nan 1
14367.51 -25.4598 nan 1
16126.99 -27.5737 nan 1
