segment,trial,tag,note,velocity,hold_s,onset_s
scratch_level_vib,0,level=127,60,100,8.000,24.8680
scratch_level_vib,1,level=96,60,100,8.000,36.0240
scratch_level_vib,2,level=72,60,100,8.000,47.1800
scratch_level_vib,3,level=52,60,100,8.000,58.3360
scratch_level_vib,4,level=36,60,100,8.000,69.4920
scratch_level_vib,5,level=24,60,100,8.000,80.6480
scratch_level_vib,6,level=14,60,100,8.000,91.8040
scratch_level_vib,7,level=8,60,100,8.000,102.9600
scratch_level_fbass,0,level=127,60,100,8.000,118.3280
scratch_level_fbass,1,level=96,60,100,8.000,129.4840
scratch_level_fbass,2,level=72,60,100,8.000,140.6400
scratch_level_fbass,3,level=52,60,100,8.000,151.7960
scratch_level_fbass,4,level=36,60,100,8.000,162.9520
scratch_level_fbass,5,level=24,60,100,8.000,174.1080
scratch_level_fbass,6,level=14,60,100,8.000,185.2640
scratch_level_fbass,7,level=8,60,100,8.000,196.4200
scratch_level_marimba,0,level=127,60,100,8.000,211.7880
scratch_level_marimba,1,level=96,60,100,8.000,222.9440
scratch_level_marimba,2,level=72,60,100,8.000,234.1000
scratch_level_marimba,3,level=52,60,100,8.000,245.2560
scratch_level_marimba,4,level=36,60,100,8.000,256.4120
scratch_level_marimba,5,level=24,60,100,8.000,267.5680
scratch_level_marimba,6,level=14,60,100,8.000,278.7240
scratch_level_marimba,7,level=8,60,100,8.000,289.8800
scratch_velocity_vib,0,vel=127,60,127,8.000,305.2420
scratch_velocity_vib,1,vel=110,60,110,8.000,316.3920
scratch_velocity_vib,2,vel=90,60,90,8.000,327.5420
scratch_velocity_vib,3,vel=70,60,70,8.000,338.6920
scratch_velocity_vib,4,vel=50,60,50,8.000,349.8420
scratch_velocity_vib,5,vel=30,60,30,8.000,360.9920
scratch_velocity_vib,6,vel=15,60,15,8.000,372.1420
scratch_velocity_marimba,0,vel=127,60,127,8.000,387.5040
scratch_velocity_marimba,1,vel=110,60,110,8.000,398.6540
scratch_velocity_marimba,2,vel=90,60,90,8.000,409.8040
scratch_velocity_marimba,3,vel=70,60,70,8.000,420.9540
scratch_velocity_marimba,4,vel=50,60,50,8.000,432.1040
scratch_velocity_marimba,5,vel=30,60,30,8.000,443.2540
scratch_velocity_marimba,6,vel=15,60,15,8.000,454.4040
scratch_env_release,0,env_release=-4,60,100,8.000,469.7720
scratch_env_release,1,env_release=-3,60,100,8.000,483.9280
scratch_env_release,2,env_release=-2,60,100,8.000,498.0840
scratch_env_release,3,env_release=-1,60,100,8.000,512.2400
scratch_env_release,4,env_release=+0,60,100,8.000,526.3960
scratch_env_release,5,env_release=+1,60,100,8.000,540.5520
scratch_env_release,6,env_release=+2,60,100,8.000,554.7080
scratch_env_attack,0,env_attack=-4,60,100,8.000,573.0760
scratch_env_attack,1,env_attack=-3,60,100,8.000,584.2320
scratch_env_attack,2,env_attack=-2,60,100,8.000,595.3880
scratch_env_attack,3,env_attack=-1,60,100,8.000,606.5440
scratch_env_attack,4,env_attack=+0,60,100,8.000,617.7000
scratch_env_attack,5,env_attack=+1,60,100,8.000,628.8560
scratch_tones,0,tone=vib,60,100,8.000,644.2240
scratch_tones,1,tone=bell,60,100,8.000,655.3800
scratch_tones,2,tone=slap,60,100,8.000,666.5360
scratch_tones,3,tone=marimba,60,100,8.000,677.6920
scratch_tones,4,tone=fbass,60,100,8.000,688.8480
scratch_tones,5,tone=piano,60,100,8.000,700.0040
scratch_keys,0,note=24,24,100,8.000,715.3660
scratch_keys,1,note=36,36,100,8.000,726.5160
scratch_keys,2,note=48,48,100,8.000,737.6660
scratch_keys,3,note=60,60,100,8.000,748.8160
scratch_keys,4,note=72,72,100,8.000,759.9660
scratch_keys,5,note=84,84,100,8.000,771.1160
scratch_keys,6,note=96,96,100,8.000,782.2660
scratch_slow_vib,0,env_release=+0,60,100,20.000,797.6340
scratch_slow_vib,1,env_release=-4,60,100,20.000,821.7900
scratch_slow_vib,2,env_release=-7,60,100,20.000,845.9460
scratch_slow_fbass,0,env_release=+0,60,100,20.000,874.3140
scratch_slow_fbass,1,env_release=-4,60,100,20.000,898.4700
scratch_slow_fbass,2,env_release=-7,60,100,20.000,922.6260
scratch_velo_sens,0,sens=0/vel=100,60,100,6.000,950.9940
scratch_velo_sens,1,sens=0/vel=40,60,40,6.000,959.6500
scratch_velo_sens,2,sens=8/vel=100,60,100,6.000,968.3060
scratch_velo_sens,3,sens=8/vel=40,60,40,6.000,976.9620
scratch_velo_sens,4,sens=15/vel=100,60,100,6.000,985.6180
scratch_velo_sens,5,sens=15/vel=40,60,40,6.000,994.2740
