segment,trial,tag,note,velocity,hold_s,onset_s
fx_chorus_rate,0,crate=0,60,100,10.000,5.1293
fx_chorus_rate,1,crate=3,60,100,10.000,17.8523
fx_chorus_rate,2,crate=7,60,100,10.000,30.5753
fx_chorus_rate,3,crate=11,60,100,10.000,43.2983
fx_chorus_rate,4,crate=15,60,100,10.000,56.0213
fx_chorus_depth,0,cdepth=0,60,100,10.000,73.1630
fx_chorus_depth,1,cdepth=1,60,100,10.000,85.8862
fx_chorus_depth,2,cdepth=4,60,100,10.000,98.6093
fx_chorus_depth,3,cdepth=7,60,100,10.000,111.3323
fx_chorus_depth,4,cdepth=11,60,100,10.000,124.0553
fx_chorus_depth,5,cdepth=15,60,100,10.000,136.7783
fx_tremolo_rate,0,trate=0,60,100,10.000,153.9190
fx_tremolo_rate,1,trate=3,60,100,10.000,166.6423
fx_tremolo_rate,2,trate=7,60,100,10.000,179.3653
fx_tremolo_rate,3,trate=11,60,100,10.000,192.0883
fx_tremolo_rate,4,trate=15,60,100,10.000,204.8119
fx_tremolo_depth,0,tdepth=0,60,100,10.000,221.9523
fx_tremolo_depth,1,tdepth=1,60,100,10.000,234.6753
fx_tremolo_depth,2,tdepth=4,60,100,10.000,247.3983
fx_tremolo_depth,3,tdepth=7,60,100,10.000,260.1213
fx_tremolo_depth,4,tdepth=11,60,100,10.000,272.8443
fx_tremolo_depth,5,tdepth=15,60,100,10.000,285.5673
fx_shape,0,shape/chorus_7_7,60,100,25.000,302.7079
fx_shape,1,shape/chorus_7_15,60,100,25.000,330.4463
fx_shape,2,shape/chorus_0_7,60,100,25.000,358.1843
fx_shape,3,shape/tremolo_7_7,60,100,25.000,385.9223
fx_shape,4,shape/tremolo_7_15,60,100,25.000,413.6603
fx_shape,5,shape/dry,60,100,25.000,441.3983
fx_stereo,0,stereo/chorus_wet,60,100,15.000,473.5533
fx_stereo,1,stereo/chorus_dry,60,100,15.000,491.2813
fx_stereo,2,stereo/tremolo_wet,60,100,15.000,509.0093
fx_stereo,3,stereo/tremolo_dry,60,100,15.000,526.7373
fx_stereo,4,stereo/both_wet,60,100,15.000,544.4652
fx_stereo,5,stereo/both_dry,60,100,15.000,562.1933
fx_tones_strings,0,strings/dry,60,100,12.000,584.3383
fx_tones_strings,1,strings/wet,60,100,12.000,599.0633
fx_tones_choir,0,choir/dry,60,100,12.000,618.2059
fx_tones_choir,1,choir/wet,60,100,12.000,632.9313
fx_tones_vib,0,vib/dry,60,100,12.000,652.0764
fx_tones_vib,1,vib/wet,60,100,12.000,666.8024
fx_factory_p01,0,P-01/n48/dry,48,100,12.000,685.3322
fx_factory_p01,1,P-01/n60/dry,60,100,12.000,700.0586
fx_factory_p01,2,P-01/n48/wet,48,100,12.000,714.7850
fx_factory_p01,3,P-01/n60/wet,60,100,12.000,729.5019
fx_factory_p31,0,P-31/n48/dry,48,100,12.000,748.0303
fx_factory_p31,1,P-31/n60/dry,60,100,12.000,762.7553
fx_factory_p31,2,P-31/n48/wet,48,100,12.000,777.4803
fx_factory_p31,3,P-31/n60/wet,60,100,12.000,792.2053
fx_factory_p14,0,P-14/n48/dry,48,100,12.000,810.7333
fx_factory_p14,1,P-14/n60/dry,60,100,12.000,825.4583
fx_factory_p14,2,P-14/n48/wet,48,100,12.000,840.1833
fx_factory_p14,3,P-14/n60/wet,60,100,12.000,854.9089
