segment,trial,tag,note,velocity,hold_s,onset_s
release_sweep_vib,0,env_release=-7,60,100,1.000,4.1546
release_sweep_vib,1,env_release=-6,60,100,1.000,8.5086
release_sweep_vib,2,env_release=-5,60,100,1.000,12.8626
release_sweep_vib,3,env_release=-4,60,100,1.000,17.2166
release_sweep_vib,4,env_release=-3,60,100,1.000,21.5706
release_sweep_vib,5,env_release=-2,60,100,1.000,25.9246
release_sweep_vib,6,env_release=-1,60,100,1.000,30.2786
release_sweep_vib,7,env_release=+0,60,100,1.000,34.6326
release_sweep_vib,8,env_release=+1,60,100,1.000,38.9866
release_sweep_vib,9,env_release=+2,60,100,1.000,43.3406
release_sweep_vib,10,env_release=+3,60,100,1.000,47.6956
release_sweep_vib,11,env_release=+4,60,100,1.000,52.0505
release_sweep_vib,12,env_release=+5,60,100,1.000,56.4055
release_sweep_vib,13,env_release=+6,60,100,1.000,60.7600
release_sweep_vib,14,env_release=+7,60,100,1.000,65.1150
release_sweep_organ,0,env_release=-7,60,100,1.000,72.9732
release_sweep_organ,1,env_release=-6,60,100,1.000,77.3276
release_sweep_organ,2,env_release=-5,60,100,1.000,81.6816
release_sweep_organ,3,env_release=-4,60,100,1.000,86.0355
release_sweep_organ,4,env_release=-3,60,100,1.000,90.3896
release_sweep_organ,5,env_release=-2,60,100,1.000,94.7436
release_sweep_organ,6,env_release=-1,60,100,1.000,99.0976
release_sweep_organ,7,env_release=+0,60,100,1.000,103.4516
release_sweep_organ,8,env_release=+1,60,100,1.000,107.8055
release_sweep_organ,9,env_release=+2,60,100,1.000,112.1596
release_sweep_organ,10,env_release=+3,60,100,1.000,116.5136
release_sweep_organ,11,env_release=+4,60,100,1.000,120.8676
release_sweep_organ,12,env_release=+5,60,100,1.000,125.2216
release_sweep_organ,13,env_release=+6,60,100,1.000,129.5756
release_sweep_organ,14,env_release=+7,60,100,1.000,133.9296
release_sweep_choir,0,env_release=-7,60,100,1.000,141.7866
release_sweep_choir,1,env_release=-6,60,100,1.000,146.1406
release_sweep_choir,2,env_release=-5,60,100,1.000,150.4956
release_sweep_choir,3,env_release=-4,60,100,1.000,154.8499
release_sweep_choir,4,env_release=-3,60,100,1.000,159.2046
release_sweep_choir,5,env_release=-2,60,100,1.000,163.5590
release_sweep_choir,6,env_release=-1,60,100,1.000,167.9129
release_sweep_choir,7,env_release=+0,60,100,1.000,172.2676
release_sweep_choir,8,env_release=+1,60,100,1.000,176.6223
release_sweep_choir,9,env_release=+2,60,100,1.000,180.9771
release_sweep_choir,10,env_release=+3,60,100,1.000,185.3316
release_sweep_choir,11,env_release=+4,60,100,1.000,189.6865
release_sweep_choir,12,env_release=+5,60,100,1.000,194.0405
release_sweep_choir,13,env_release=+6,60,100,1.000,198.3936
release_sweep_choir,14,env_release=+7,60,100,1.000,202.7476
attack_sweep_vib,0,env_attack=-7,60,100,2.500,210.6046
attack_sweep_vib,1,env_attack=-6,60,100,2.500,215.0594
attack_sweep_vib,2,env_attack=-5,60,100,2.500,219.5135
attack_sweep_vib,3,env_attack=-4,60,100,2.500,223.9676
attack_sweep_vib,4,env_attack=-3,60,100,2.500,228.4216
attack_sweep_vib,5,env_attack=-2,60,100,2.500,232.8767
attack_sweep_vib,6,env_attack=-1,60,100,2.500,237.3315
attack_sweep_vib,7,env_attack=+0,60,100,2.500,241.7855
attack_sweep_vib,8,env_attack=+1,60,100,2.500,246.2406
attack_sweep_vib,9,env_attack=+2,60,100,2.500,250.6956
attack_sweep_vib,10,env_attack=+3,60,100,2.500,255.1506
