segment,trial,tag,note,velocity,hold_s,reg07,reg06,peak_db,attack_db_s,t_rise_s,release_db_s,release_frames,decay_while_held_db
rate_ladder_release,0,env_release=-4/level=127,60,100,1.000,220,109,-33.76,nan,0.03,-42.37,509,-1.7
rate_ladder_release,1,env_release=-4/level=123,60,100,1.000,220,109,-33.96,nan,0.028,-42.34,505,-1.59
rate_ladder_release,2,env_release=-4/level=119,60,100,1.000,219,108,-33.88,nan,0.03,-43.69,492,-1.92
rate_ladder_release,3,env_release=-4/level=115,60,100,1.000,218,108,-34.62,nan,0.028,-33.73,581,-1.62
rate_ladder_release,4,env_release=-4/level=111,60,100,1.000,217,107,-34.93,nan,0.028,-39.57,536,-1.47
rate_ladder_release,5,env_release=-4/level=107,60,100,1.000,216,107,-35.02,nan,0.03,-35.11,607,-1.7
rate_ladder_release,6,env_release=-4/level=103,60,100,1.000,215,106,-35.82,nan,0.028,-39.0,551,-1.26
rate_ladder_release,7,env_release=-4/level=99,60,100,1.000,214,106,-35.81,nan,0.028,-40.83,519,-1.72
rate_ladder_release,8,env_release=-4/level=95,60,100,1.000,213,105,-36.4,nan,0.028,-38.15,556,-1.43
rate_ladder_release,9,env_release=-4/level=91,60,100,1.000,212,105,-36.86,nan,0.03,-35.76,611,-1.14
rate_ladder_release,10,env_release=-4/level=87,60,100,1.000,212,105,-36.94,nan,0.028,-35.86,604,-1.32
rate_ladder_release,11,env_release=-4/level=83,60,100,1.000,211,104,-37.04,nan,0.028,-37.43,580,-1.77
rate_ladder_release,12,env_release=-4/level=79,60,100,1.000,210,104,-37.55,nan,0.026,-36.75,597,-1.36
rate_ladder_release,13,env_release=-4/level=75,60,100,1.000,209,103,-37.67,nan,0.028,-35.65,607,-2.02
rate_ladder_release,14,env_release=-4/level=71,60,100,1.000,208,103,-38.32,nan,0.026,-38.38,597,-1.6
rate_ladder_release,15,env_release=-4/level=67,60,100,1.000,207,102,-38.36,nan,0.028,-36.88,614,-2.19
rate_ladder_release,16,env_release=-4/level=63,60,100,1.000,205,101,-39.19,nan,0.028,-37.96,470,-2.26
rate_ladder_release,17,env_release=-4/level=59,60,100,1.000,204,101,-39.35,nan,0.026,-36.27,505,-2.17
rate_ladder_release,18,env_release=-4/level=55,60,100,1.000,202,100,-40.24,nan,0.026,-35.35,516,-2.12
rate_ladder_release,19,env_release=-4/level=51,60,100,1.000,200,99,-40.85,nan,0.026,-33.46,436,-1.93
rate_ladder_release,20,env_release=-4/level=47,60,100,1.000,198,98,-41.75,nan,0.028,-33.26,555,-1.8
rate_ladder_release,21,env_release=-4/level=43,60,100,1.000,196,97,-42.36,nan,0.026,-31.62,605,-1.8
