segment,trial,tag,note,velocity,hold_s,onset_s
scratch_level_vib,0,level=127,60,100,8.000,5.0325
scratch_level_vib,1,level=96,60,100,8.000,16.1943
scratch_level_vib,2,level=72,60,100,8.000,27.3560
scratch_level_vib,3,level=52,60,100,8.000,38.5175
scratch_level_vib,4,level=36,60,100,8.000,49.6791
scratch_level_vib,5,level=24,60,100,8.000,60.8406
scratch_level_vib,6,level=14,60,100,8.000,72.0022
scratch_level_vib,7,level=8,60,100,8.000,83.1638
scratch_level_fbass,0,level=127,60,100,8.000,98.7045
scratch_level_fbass,1,level=96,60,100,8.000,109.8654
scratch_level_fbass,2,level=72,60,100,8.000,121.0264
scratch_level_fbass,3,level=52,60,100,8.000,132.1874
scratch_level_fbass,4,level=36,60,100,8.000,143.3484
scratch_level_fbass,5,level=24,60,100,8.000,154.5094
scratch_level_fbass,6,level=14,60,100,8.000,165.6704
scratch_level_fbass,7,level=8,60,100,8.000,176.8314
scratch_level_marimba,0,level=127,60,100,8.000,192.3735
scratch_level_marimba,1,level=96,60,100,8.000,203.5344
scratch_level_marimba,2,level=72,60,100,8.000,214.6954
scratch_level_marimba,3,level=52,60,100,8.000,225.8564
scratch_level_marimba,4,level=36,60,100,8.000,237.0174
scratch_level_marimba,5,level=24,60,100,8.000,248.1784
scratch_level_marimba,6,level=14,60,100,8.000,259.3394
scratch_level_marimba,7,level=8,60,100,8.000,270.5004
scratch_velocity_vib,0,vel=127,60,127,8.000,286.0426
scratch_velocity_vib,1,vel=110,60,110,8.000,297.2040
scratch_velocity_vib,2,vel=90,60,90,8.000,308.3656
scratch_velocity_vib,3,vel=70,60,70,8.000,319.5271
scratch_velocity_vib,4,vel=50,60,50,8.000,330.6886
scratch_velocity_vib,5,vel=30,60,30,8.000,341.8502
scratch_velocity_vib,6,vel=15,60,15,8.000,353.0117
scratch_velocity_marimba,0,vel=127,60,127,8.000,368.5483
scratch_velocity_marimba,1,vel=110,60,110,8.000,379.7093
scratch_velocity_marimba,2,vel=90,60,90,8.000,390.8703
scratch_velocity_marimba,3,vel=70,60,70,8.000,402.0313
scratch_velocity_marimba,4,vel=50,60,50,8.000,413.1923
scratch_velocity_marimba,5,vel=30,60,30,8.000,424.3533
scratch_velocity_marimba,6,vel=15,60,15,8.000,435.5143
scratch_env_release,0,env_release=-4,60,100,8.000,451.0565
scratch_env_release,1,env_release=-3,60,100,8.000,465.2204
scratch_env_release,2,env_release=-2,60,100,8.000,479.3845
scratch_env_release,3,env_release=-1,60,100,8.000,493.5484
scratch_env_release,4,env_release=+0,60,100,8.000,507.7124
scratch_env_release,5,env_release=+1,60,100,8.000,521.8764
scratch_env_release,6,env_release=+2,60,100,8.000,536.0405
scratch_env_attack,0,env_attack=-4,60,100,8.000,554.5855
scratch_env_attack,1,env_attack=-3,60,100,8.000,565.7464
scratch_env_attack,2,env_attack=-2,60,100,8.000,576.9076
scratch_env_attack,3,env_attack=-1,60,100,8.000,588.0699
scratch_env_attack,4,env_attack=+0,60,100,8.000,599.2321
scratch_env_attack,5,env_attack=+1,60,100,8.000,610.3942
scratch_tones,0,tone=vib,60,100,8.000,625.9440
scratch_tones,1,tone=bell,60,100,8.000,637.1055
scratch_tones,2,tone=slap,60,100,8.000,648.2648
scratch_tones,3,tone=marimba,60,100,8.000,659.4261
scratch_tones,4,tone=fbass,60,100,8.000,670.5874
scratch_tones,5,tone=piano,60,100,8.000,681.7484
scratch_keys,0,note=24,24,100,8.000,697.2903
scratch_keys,1,note=36,36,100,8.000,708.4513
scratch_keys,2,note=48,48,100,8.000,719.6123
scratch_keys,3,note=60,60,100,8.000,730.7733
scratch_keys,4,note=72,72,100,8.000,741.9343
scratch_keys,5,note=84,84,100,8.000,753.0953
scratch_keys,6,note=96,96,100,8.000,764.2563
scratch_slow_vib,0,env_release=+0,60,100,20.000,779.7985
scratch_slow_vib,1,env_release=-4,60,100,20.000,803.9724
scratch_slow_vib,2,env_release=-7,60,100,20.000,828.1464
scratch_slow_fbass,0,env_release=+0,60,100,20.000,856.7015
scratch_slow_fbass,1,env_release=-4,60,100,20.000,880.8754
scratch_slow_fbass,2,env_release=-7,60,100,20.000,905.0494
scratch_velo_sens,0,sens=0/vel=100,60,100,6.000,933.6045
scratch_velo_sens,1,sens=0/vel=40,60,40,6.000,942.2624
scratch_velo_sens,2,sens=8/vel=100,60,100,6.000,950.9204
scratch_velo_sens,3,sens=8/vel=40,60,40,6.000,959.5784
scratch_velo_sens,4,sens=15/vel=100,60,100,6.000,968.2364
scratch_velo_sens,5,sens=15/vel=40,60,40,6.000,976.8944
